Cues,Targets,Sample Size,Count
CREW,TEAMWORK,74,65
PIGMENT,COLORFUL,74,37
INVENT,CREATION,74,22
LEVER,PULL,74,52
RELIABLE,TRUST,74,42
FACTORY,INDUSTRIAL,74,67
DENT,PAIN,74,61
NEIGHBOR,FAMILIARITY,74,4
IMAGINATION,CREATIVITY,74,46
LIVING,VIVID,74,1
SEASON,CYCLICAL,74,3
SHOWER,MOISTURE,74,1
PRIM,PROPER,74,46
RURAL,RUSTIC,74,3
CHEDDAR,CHEESY,74,46
DECORATION,FESTIVE,74,47
FENCE,BOUNDARY,74,27
CORPORAL,DISCIPLINE,74,16
BRIEF,CONCISE,74,11
ANXIETY,STRESS,74,36
ASSUME,PRESUPPOSITION,74,2
DISCOURAGE,DETERRENT,74,4
ROPE,TENSION,74,8
HAUNT,GHOSTLY,74,19
SECURE,SAFETY,74,38
SURFACE,TEXTURE,74,55
RADIO,BROADCAST,74,25
PUKE,DISGUST,74,24
EDGE,BOUNDLESS,74,1
CALIFORNIA,BEACH,74,24
SAVE,RESCUE,74,56
CATERPILLAR,TRANSFORMATION,74,40
FLUSH,CLEANLINESS,74,11
BASIC,SIMPLICITY,74,37
GOODBYE,FAREWELL,74,73
STRANGE,UNUSUAL,74,38
STRAP,TIGHTNESS,74,2
CONSIDER,THOUGHTFULNESS,74,1
ROOF,PROTECTIVE,74,1
DANGEROUS,THREAT,74,25
IMPORTANT,SIGNIFICANT,74,46
BULLY,INTIMIDATION,74,14
LIGHT,SHIMMERING,74,1
KING,MAJESTIC,74,6
ANGLE,PERSPECTIVE,74,74
POPCORN,CRUNCHY,74,49
FIN,SWIMMING,74,6
SUICIDE,DESPERATION,74,7
PENCIL,SHARPNESS,74,1
PEANUT BUTTER,CREAMINESS,74,2
FISHING,RELAXING,74,11
DIRECT,GUIDANCE,74,31
INSURANCE,PROTECTION,74,56
SOUTHERN,HOMELY,74,2
DECISION,CHOICE,74,63
ATTACK,AGGRESSION,74,32
CLERK,ADMINISTRATIVE,74,6
ACTIVITY,ENGAGING,74,9
POLICE,JUSTICE,74,23
BOND,COMMITMENT,74,1
FRIGHTENED,PANIC,74,1
FREEZE,COLDNESS,74,2
BAPTIST,SPIRITUAL,74,14
ENTERTAINMENT,AMUSEMENTS,74,1
CAUTION,WARNING,74,62
FEMALE,FEMININE,74,19
FLEA,TINY,74,16
GRADUATE,SUCCESS,74,21
SHUT,CLOSURE,74,16
STOP,RESTRICT,74,1
FREQUENT,REPETITION,74,2
CIGAR,SMOKEY,74,19
BURIAL,MOURN,74,1
MEND,REPAIR,74,63
SEPARATE,DIVISION,74,34
STARS,SPARKLING,74,3
EYEBALL,VISUAL,74,15
STRICT,DISCIPLINE,74,29
CUSS,OFFENSIVE,74,1
ALARM,ALERT,74,59
BRAKE,STOPPING,74,3
ABILITY,COMPETENCE,74,3
BLUFF,DECEPTION,74,27
OUTCOME,RESULT,74,74
MINK,LUXURIOUS,74,5
FORBIDDEN,TABOO,74,41
ASTEROID,CELESTIAL,74,4
JOY,BLISS,74,5
ACQUIRE,GAIN,74,38
ECONOMY,FINANCIAL,74,26
FLOAT,WEIGHTLESS,74,19
PLAYING,GAME,74,24
BOIL,HEAT,74,55
DOMAIN,SOVEREIGNTY,74,2
INCLINE,ASCENDING,74,1
ANXIOUS,NERVOUS,74,14
BRANDY,WARMTH,74,2
RECIPE,INSTRUCTION,74,22
SUN,BRIGHT,74,17
FRIENDSHIP,FRIENDLY,74,3
PIGMENT,COLOR,74,33
INVENT,INNOVATION,74,19
NEIGHBOR,COMMUNITY,74,52
LIVING,LIFE,74,35
SEASON,CHANGE,74,48
SHOWER,RAIN,74,16
RURAL,NATURE,74,7
CHEDDAR,CHEESE,74,17
DECORATION,CELEBRATION,74,1
FENCE,BARRIER,74,43
CORPORAL,MILITARY,74,28
BRIEF,SUMMARY,74,31
ANXIETY,FEAR,74,15
ASSUME,PRESUME,74,39
DISCOURAGE,DETER,74,27
ROPE,BIND,74,15
HAUNT,GHOST,74,6
SECURE,PROTECTION,74,4
RADIO,SOUND,74,12
PUKE,VOMIT,74,11
EDGE,BORDER,74,8
FLUSH,CLEAN,74,26
BASIC,FUNDAMENTAL,74,18
STRAP,BIND,74,14
CONSIDER,THOUGHT,74,9
ROOF,SHELTER,74,62
BULLY,INTIMIDATE,74,24
LIGHT,ILLUMINATION,74,14
KING,ROYALTY,74,17
POPCORN,SNACK,74,15
FIN,END,74,2
SUICIDE,DESPAIR,74,35
PENCIL,DRAWING,74,8
PEANUT BUTTER,SPREAD,74,7
FISHING,HOBBY,74,7
INSURANCE,GUARANTEE,74,5
SOUTHERN,HOSPITALITY,74,9
CLERK,SECRETARY,74,1
ACTIVITY,INVOLVEMENT,74,1
BOND,UNITY,74,24
FRIGHTENED,SCARED,74,40
FREEZE,COLD,74,58
BAPTIST,RELIGIOUS,74,25
