,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,SAILOR,94,70,N,True
1,PIGMENT,COLOR,94,89,N,True
2,INVENT,CREATE,94,82,N,True
3,LEVER,PULL,94,78,N,True
4,RELIABLE,DEPENDABLE,94,1,N,True
5,FACTORY,INDUSTRIAL,94,53,N,False
6,DENT,TOOTH,94,55,N,True
7,NEIGHBOR,FRIEND,94,79,N,True
8,IMAGINATION,CREATIVITY,94,83,N,True
9,LIVING,BREATHING,94,13,N,True
10,SEASON,AUTUMN,94,27,N,True
11,SHOWER,RAIN,94,90,N,True
12,PRIM,PROPER,94,91,N,True
13,RURAL,FARM,94,32,N,False
14,CHEDDAR,CHEESE,94,94,N,True
15,DECORATION,ORNAMENT,94,70,N,True
16,FENCE,BARRIER,94,89,N,True
17,CORPORAL,SOLDIER,94,30,N,True
18,BRIEF,SHORT,94,37,AJ,True
19,ANXIETY,STRESS,94,62,N,True
20,ASSUME,PRESUME,94,60,N,True
21,DISCOURAGE,DISCOURAGE,94,6,N,True
22,ROPE,KNOT,94,46,N,True
23,HAUNT,GHOST,94,91,N,True
24,SECURE,SAFE,94,64,N,True
25,SURFACE,TOP,94,7,N,True
26,RADIO,MUSIC,94,46,N,True
27,PUKE,VOMIT,94,91,N,True
28,EDGE,BORDER,94,72,N,True
29,CALIFORNIA,BEACH,94,39,N,True
30,SAVE,RESCUE,94,90,N,True
31,CATERPILLAR,INSECT,94,33,N,True
32,FLUSH,TOILET,94,89,N,True
33,BASIC,FUNDAMENTAL,94,51,N,True
34,GOODBYE,FAREWELL,94,93,N,True
35,STRANGE,ODD,94,34,N,True
36,STRAP,BUCKLE,94,40,N,True
37,CONSIDER,THINK,94,56,N,True
38,ROOF,COVER,94,26,N,True
39,DANGEROUS,HAZARD,94,10,N,False
40,IMPORTANT,SIGNIFICANT,94,56,N,True
41,BULLY,HARASS,94,72,N,True
42,LIGHT,BRIGHT,94,66,N,True
43,KING,MONARCH,94,84,N,True
44,ANGLE,CORNER,94,12,N,True
45,POPCORN,SNACK,94,86,N,True
46,FIN,SHARK,94,89,N,True
47,SUICIDE,DEPRESSION,94,33,N,True
48,PENCIL,DRAW,94,33,N,True
49,PEANUT BUTTER,SANDWICH,94,51,N,False
50,FISHING,ANGLING,94,50,N,True
51,DIRECT,STRAIGHT,94,13,N,True
52,INSURANCE,PROTECTION,94,66,N,True
53,SOUTHERN,ACCENT,94,13,N,False
54,DECISION,CHOICE,94,92,N,True
55,ATTACK,WARFARE,94,2,N,True
56,CLERK,ASSISTANT,94,16,N,True
57,ACTIVITY,MOVEMENT,94,2,N,True
58,POLICE,PATROL,94,7,N,True
59,BOND,TIES,94,3,N,True
60,FRIGHTENED,SCARED,94,89,N,True
61,FREEZE,COLD,94,34,N,True
62,BAPTIST,RELIGION,94,35,N,True
63,ENTERTAINMENT,SHOWBIZ,94,14,N,False
64,CAUTION,WARNING,94,89,N,True
65,FEMALE,WOMAN,94,89,N,True
66,FLEA,BUG,94,4,N,True
67,GRADUATE,EDUCATION,94,2,N,True
68,SHUT,CLOSE,94,78,N,True
69,STOP,HALT,94,80,N,True
70,FREQUENT,OFTEN,94,35,ADV,False
71,CIGAR,SMOKING,94,23,N,True
72,BURIAL,FUNERAL,94,92,N,True
73,MEND,REPAIR,94,81,N,True
74,SEPARATE,DIVIDE,94,85,N,True
75,STARS,GALAXY,94,64,N,True
76,EYEBALL,VISION,94,61,N,True
77,STRICT,SEVERE,94,9,N,True
78,CUSS,CURSE,94,1,N,True
79,ALARM,ALERT,94,50,N,True
80,BRAKE,STOP,94,87,N,True
81,ABILITY,TALENT,94,66,N,True
82,BLUFF,TRICK,94,18,N,True
83,OUTCOME,RESULT,94,94,N,True
84,MINK,FUR,94,93,N,True
85,FORBIDDEN,TABOO,94,22,N,True
86,ASTEROID,METEOR,94,48,N,True
87,JOY,HAPPINESS,94,93,N,True
88,ACQUIRE,OBTAIN,94,48,N,True
89,ECONOMY,FINANCE,94,59,N,True
90,FLOAT,DRIFT,94,48,N,True
91,PLAYING,GAME,94,69,N,True
92,BOIL,HEAT,94,58,N,True
93,DOMAIN,TERRITORY,94,39,N,True
94,INCLINE,HILL,94,38,N,True
95,ANXIOUS,WORRIED,94,66,N,True
96,BRANDY,LIQUOR,94,64,N,True
97,RECIPE,INSTRUCTION,94,18,N,True
98,SUN,GLOW,94,1,N,True
99,FRIENDSHIP,COMPANIONSHIP,94,48,N,True
100,RELIABLE,TRUSTWORTHY,94,87,N,True
101,FACTORY,MANUFACTURING,94,4,N,True
102,LIVING,ALIVE,94,66,N,True
103,SEASON,WINTER,94,58,N,True
104,RURAL,COUNTRYSIDE,94,35,N,False
105,DISCOURAGE,DETER,94,51,N,True
106,SURFACE,EXTERIOR,94,58,N,True
107,RADIO,BROADCAST,94,42,N,True
108,CALIFORNIA,LOS ANGELES,94,2,N,False
109,CATERPILLAR,BUTTERFLY,94,59,N,True
110,BASIC,SIMPLE,94,29,N,True
111,STRANGE,WEIRD,94,11,AJ,True
112,ROOF,TOP,94,7,N,True
113,DANGEROUS,RISKY,94,15,AJ,True
114,IMPORTANT,CRUCIAL,94,25,N,True
115,BULLY,TORMENT,94,4,N,True
116,ANGLE,PERSPECTIVE,94,50,N,True
117,SUICIDE,DEATH,94,52,N,True
118,PENCIL,WRITE,94,47,V,True
119,DIRECT,COMMAND,94,8,N,True
120,INSURANCE,COVERAGE,94,8,N,True
121,SOUTHERN,TEXAS,94,4,N,False
122,ATTACK,ASSAULT,94,48,N,True
123,CLERK,CASHIER,94,13,N,True
124,ACTIVITY,HOBBY,94,9,N,True
125,POLICE,COP,94,7,N,True
126,BOND,CONNECTION,94,40,N,True
127,FREEZE,ICE,94,41,N,True
128,BAPTIST,CHRISTIAN,94,29,N,True
129,ENTERTAINMENT,CINEMA,94,35,N,True
130,FLEA,INSECT,94,77,N,True
131,GRADUATE,DEGREE,94,11,N,True
132,FREQUENT,REGULAR,94,33,N,True
133,CIGAR,SMOKE,94,57,N,True
134,STARS,ASTRONOMY,94,2,N,True
135,STRICT,RIGOROUS,94,7,N,True
136,CUSS,SWEAR,94,89,N,True
137,ABILITY,SKILL,94,16,N,True
138,FORBIDDEN,PROHIBITED,94,36,N,True
139,BOIL,COOK,94,11,N,True
140,INCLINE,SLOPE,94,40,N,True
141,RECIPE,COOKING,94,31,N,True
142,SUN,WARMTH,94,1,N,True
143,FRIENDSHIP,COMRADESHIP,94,4,N,True
144,FACTORY,MANUFACTURE,94,3,N,True
145,IMAGINATION,FANTASY,94,6,N,True
146,FENCE,WOOD,94,1,N,True
147,CORPORAL,MILITARY,94,63,N,True
148,BRIEF,SUMMARY,94,48,N,True
149,DISCOURAGE,DEMOTIVATE,94,13,N,False
150,ROPE,TIE,94,20,N,True
151,CALIFORNIA,HOLLYWOOD,94,40,N,True
152,STRAP,BELT,94,53,N,True
153,CONSIDER,PONDER,94,17,N,True
154,ROOF,CEILING,94,3,N,True
155,DANGEROUS,THREATENING,94,12,N,True
156,PEANUT BUTTER,JELLY,94,28,N,False
157,FISHING,REEL,94,2,N,True
158,DIRECT,GUIDANCE,94,7,N,False
159,SOUTHERN,DIXIE,94,64,N,False
160,CLERK,SALESMAN,94,15,N,True
161,ACTIVITY,EXERCISE,94,33,N,True
162,POLICE,OFFICER,94,23,N,True
163,BOND,ALLIANCE,94,4,N,True
164,FREEZE,ICY,94,6,N,False
165,BAPTIST,RELIGIOUS,94,23,N,True
166,GRADUATE,DIPLOMA,94,46,N,True
167,STOP,CEASE,94,6,N,True
168,CIGAR,TOBACCO,94,13,N,True
169,STARS,NIGHT,94,6,N,True
170,EYEBALL,SIGHT,94,18,N,True
171,STRICT,RIGID,94,48,N,True
172,BLUFF,DECEPTION,94,16,N,True
173,FORBIDDEN,RESTRICTED,94,5,N,True
174,PLAYING,GAMING,94,18,N,True
175,BOIL,BUBBLE,94,2,N,True
176,INCLINE,RAMP,94,3,N,True
177,SUN,SUNSHINE,94,1,N,True
178,FRIENDSHIP,COMPANION,94,13,N,True
179,CREW,SHIP,94,11,N,True
180,INVENT,INNOVATE,94,8,N,True
181,DENT,CHIP,94,9,N,True
182,BRIEF,CONCISE,94,6,N,False
183,ROPE,LASSO,94,4,N,True
184,SECURE,SAFETY,94,22,N,False
185,STRANGE,MYSTERIOUS,94,18,N,True
186,ROOF,SHELTER,94,51,N,True
187,DANGEROUS,THREAT,94,13,N,False
188,ANGLE,TRIANGLE,94,15,N,True
189,FIN,SWIM,94,4,N,True
190,PEANUT BUTTER,FOOD,94,1,N,False
191,FISHING,HUNT,94,4,N,True
192,INSURANCE,SAFEGUARD,94,5,N,True
193,ATTACK,DEFENSE,94,3,N,True
194,BOND,UNITY,94,12,N,True
195,ENTERTAINMENT,MOVIE,94,7,N,True
196,FLEA,PARASITE,94,9,N,True
197,GRADUATE,SCHOLAR,94,16,N,True
198,SHUT,CLOSURE,94,1,N,True
199,BLUFF,LIE,94,10,N,True
200,ACQUIRE,BUY,94,16,V,True
201,FLOAT,BOAT,94,11,N,True
202,RECIPE,INSTRUCTIONS,94,17,N,True
203,SUN,LIGHT,94,10,N,True
204,FRIENDSHIP,FRIEND,94,3,N,True
205,PIGMENT,PAINT,94,2,N,True
206,DECORATION,FESTIVE,94,7,N,False
207,STRANGE,UNUSUAL,94,23,N,True
208,DANGEROUS,RISK,94,24,N,False
209,ANGLE,PERPENDICULAR,94,1,N,True
210,PENCIL,SKETCH,94,2,N,True
211,DIRECT,ORDER,94,9,N,True
212,ATTACK,WAR,94,16,N,True
213,CLERK,SECRETARY,94,31,N,True
214,ACTIVITY,SPORT,94,18,N,True
215,POLICE,JUSTICE,94,18,N,True
216,STRICT,HARSH,94,18,N,True
217,ASTEROID,SPACE,94,44,N,True
218,ACQUIRE,PURCHASE,94,16,N,True
219,ECONOMY,FINANCES,94,3,N,True
220,PLAYING,SPORTS,94,2,N,True
221,DOMAIN,WEBSITE,94,19,N,True
222,INCLINE,UPHILL,94,5,N,True
223,ANXIOUS,NERVOUS,94,25,N,True
224,FRIENDSHIP,CAMARADERIE,94,4,N,True
225,NEIGHBOR,COMMUNITY,94,7,N,True
226,ASSUME,PRESUPPOSE,94,4,N,True
227,DANGEROUS,HAZARDOUS,94,14,N,True
228,DIRECT,GUIDE,94,25,N,True
