Cues,Targets,Sample Size,Count
CREW,CAPTAIN,95,18
PIGMENT,COLOR,95,93
INVENT,CREATE,95,64
LEVER,PULL,95,36
RELIABLE,TRUSTWORTHY,95,89
FACTORY,INDUSTRY,95,28
DENT,TOOTH,95,50
NEIGHBOR,COMMUNITY,95,24
IMAGINATION,CREATIVITY,95,84
LIVING,ALIVE,95,61
SEASON,WINTER,95,59
SHOWER,RAIN,95,88
PRIM,PROPER,95,76
RURAL,COUNTRY,95,16
CHEDDAR,CHEESE,95,95
DECORATION,ORNAMENT,95,87
FENCE,BARRIER,95,81
CORPORAL,SERGEANT,95,25
BRIEF,SUMMARY,95,63
ANXIETY,STRESS,95,61
ASSUME,PRESUME,95,46
DISCOURAGE,DETER,95,53
ROPE,CORD,95,11
HAUNT,SPOOK,95,7
SECURE,SAFE,95,53
SURFACE,TEXTURE,95,20
RADIO,BROADCAST,95,86
PUKE,VOMIT,95,95
EDGE,CORNER,95,51
CALIFORNIA,LOSANGELES,95,26
SAVE,RESCUE,95,82
CATERPILLAR,BUTTERFLY,95,86
FLUSH,DRAIN,95,25
BASIC,FUNDAMENTAL,95,66
GOODBYE,FAREWELL,95,95
STRANGE,ODD,95,44
STRAP,BUCKLE,95,42
CONSIDER,PONDER,95,11
ROOF,COVER,95,5
DANGEROUS,THREAT,95,9
IMPORTANT,VITAL,95,4
BULLY,HARASS,95,63
LIGHT,BRIGHT,95,56
KING,ROYAL,95,4
ANGLE,CORNER,95,9
POPCORN,MOVIE,95,4
FIN,SHARK,95,66
SUICIDE,DEPRESSION,95,47
PENCIL,SKETCH,95,15
PEANUT BUTTER,SANDWICH,95,28
FISHING,ANGLING,95,66
DIRECT,ORDER,95,6
INSURANCE,COVERAGE,95,22
SOUTHERN,TEXAS,95,6
DECISION,CHOICE,95,94
ATTACK,BATTLE,95,1
CLERK,CASHIER,95,32
ACTIVITY,EXERCISE,95,28
POLICE,OFFICER,95,35
BOND,LINK,95,5
FRIGHTENED,SCARY,95,2
FREEZE,COLD,95,20
BAPTIST,CHRISTIAN,95,63
ENTERTAINMENT,SHOW,95,23
CAUTION,WARNING,95,89
FEMALE,WOMAN,95,93
FLEA,INSECT,95,59
GRADUATE,SCHOLAR,95,13
SHUT,CLOSE,95,80
STOP,RED,95,2
FREQUENT,COMMON,95,10
CIGAR,SMOKE,95,59
BURIAL,FUNERAL,95,94
MEND,REPAIR,95,89
SEPARATE,DIVIDE,95,86
STARS,GALAXY,95,77
EYEBALL,OCULAR,95,2
STRICT,RIGID,95,34
CUSS,CURSE,95,1
ALARM,ALERT,95,75
BRAKE,STOP,95,81
ABILITY,TALENT,95,62
BLUFF,DECEIVE,95,37
OUTCOME,RESULT,95,95
MINK,FUR,95,94
FORBIDDEN,PROHIBIT,95,10
ASTEROID,METEOR,95,78
JOY,HAPPINESS,95,93
ACQUIRE,OBTAIN,95,48
ECONOMY,FINANCE,95,59
FLOAT,DRIFT,95,49
PLAYING,GAME,95,66
BOIL,STERILIZE,95,1
DOMAIN,WEBSITE,95,19
INCLINE,HILL,95,20
ANXIOUS,WORRIED,95,76
BRANDY,LIQUOR,95,83
RECIPE,INSTRUCTION,95,21
SUN,STAR,95,54
FRIENDSHIP,COMPANIONSHIP,95,52
CREW,SAILOR,95,77
LEVER,PULLEY,95,43
FACTORY,INDUSTRIAL,95,38
NEIGHBOR,FRIEND,95,67
IMAGINATION,CREATIVE,95,4
SEASON,AUTUMN,95,29
RURAL,FARM,95,23
CORPORAL,SOLDIER,95,40
ROPE,LASSO,95,9
HAUNT,GHOST,95,77
SECURE,PROTECT,95,18
SURFACE,EXTERIOR,95,34
CALIFORNIA,LA,95,4
FLUSH,TOILET,95,61
STRANGE,WEIRD,95,8
CONSIDER,THINK,95,52
ROOF,CEILING,95,48
DANGEROUS,HAZARDOUS,95,19
IMPORTANT,SIGNIFICANT,95,38
LIGHT,ILLUMINATE,95,7
KING,MONARCH,95,80
ANGLE,PERSPECTIVE,95,50
POPCORN,SNACK,95,77
SUICIDE,DEATH,95,38
PENCIL,DRAW,95,25
PEANUT BUTTER,SPREAD,95,12
DIRECT,GUIDE,95,41
INSURANCE,COVER,95,4
SOUTHERN,DIXIE,95,72
ATTACK,ASSAULT,95,48
CLERK,RECEPTIONIST,95,1
ACTIVITY,HOBBY,95,29
BOND,CONNECTION,95,32
FRIGHTENED,SCARED,95,81
ENTERTAINMENT,SHOWBIZ,95,25
FLEA,PARASITE,95,21
GRADUATE,ALUMNI,95,7
STOP,HALT,95,76
FREQUENT,REGULAR,95,45
CUSS,SWEAR,95,91
BLUFF,DECEPTION,95,14
FORBIDDEN,TABOO,95,21
ECONOMY,TRADE,95,23
FLOAT,BUOY,95,3
BOIL,HEAT,95,32
INCLINE,SLOPE,95,53
RECIPE,INSTRUCTIONS,95,13
INVENT,INNOVATE,95,12
FACTORY,MANUFACTURE,95,6
LIVING,BREATHING,95,11
PRIM,FORMAL,95,3
CORPORAL,MILITARY,95,30
ASSUME,BELIEVE,95,33
DISCOURAGE,DISSUADE,95,13
ROPE,KNOT,95,59
CALIFORNIA,HOLLYWOOD,95,50
SAVE,PROTECT,95,5
CATERPILLAR,INSECT,95,7
FLUSH,EXCRETE,95,1
DANGEROUS,RISKY,95,33
IMPORTANT,CRITICAL,95,11
FIN,GILL,95,1
FISHING,CATCH,95,3
DIRECT,COMMAND,95,14
ATTACK,STRIKE,95,11
CLERK,ASSISTANT,95,8
ACTIVITY,SPORT,95,16
POLICE,ARREST,95,5
BOND,AGREEMENT,95,2
BAPTIST,RELIGIOUS,95,9
GRADUATE,DIPLOMA,95,51
STARS,CELESTIAL,95,5
EYEBALL,VISION,95,38
ALARM,WARNING,95,10
ABILITY,CAPABILITY,95,7
ASTEROID,SPACE,95,8
ACQUIRE,ACQUISITION,95,1
FLOAT,BUBBLE,95,1
RECIPE,COOKBOOK,95,21
SUN,HEAT,95,3
RELIABLE,DEPENDABLE,95,3
FACTORY,MANUFACTURING,95,15
NEIGHBOR,PASSERBY,95,1
PRIM,MODEST,95,4
RURAL,COUNTRYSIDE,95,52
BRIEF,SHORT,95,27
SURFACE,LAYER,95,1
EDGE,SHARP,95,5
CALIFORNIA,STATE,95,1
STRAP,BELT,95,53
IMPORTANT,VALUABLE,95,1
BULLY,INTIMIDATE,95,8
KING,QUEEN,95,8
FIN,FLIPPER,95,7
PENCIL,WRITE,95,23
INSURANCE,PROTECTION,95,48
SOUTHERN,SOUTH,95,1
ACTIVITY,SPORTS,95,2
BOND,BINDING,95,1
GRADUATE,DEGREE,95,12
EYEBALL,IRIS,95,8
FORBIDDEN,PROHIBITED,95,41
ACQUIRE,GAIN,95,5
FLOAT,SWIM,95,12
DOMAIN,TERRITORY,95,53
INCLINE,RISE,95,4
BRANDY,ALCOHOL,95,7
RECIPE,COOK,95,2
LEVER,PUSH,95,7
DENT,TOOTHACHE,95,6
SEASON,SUMMER,95,4
SURFACE,SHELL,95,2
EDGE,CLIFF,95,11
CALIFORNIA,LOS ANGELES,95,6
BASIC,SIMPLE,95,11
DANGEROUS,RISK,95,9
IMPORTANT,CRUCIAL,95,27
BULLY,TORMENT,95,6
LIGHT,BRIGHTNESS,95,20
PENCIL,STATIONERY,95,1
PEANUT BUTTER,JAM,95,9
INSURANCE,GUARANTEE,95,1
SOUTHERN,SOUTHERN,95,3
ATTACK,FIGHT,95,2
POLICE,LAW,95,7
BOND,RELATIONSHIP,95,10
FRIGHTENED,AFRAID,95,3
FREEZE,ICE,95,35
FREQUENT,OFTEN,95,28
STRICT,DISCIPLINARIAN,95,1
BLUFF,PRETEND,95,8
BOIL,FEVER,95,3
FRIENDSHIP,COMRADESHIP,95,9
SURFACE,DEEP,95,1
STRANGE,MYSTERIOUS,95,9
BULLY,ACCOST,95,1
ANGLE,TRIANGLE,95,10
PEANUT BUTTER,JELLY,95,43
DIRECT,ORIENT,95,5
ACTIVITY,GAME,95,2
POLICE,PATROL,95,12
BOND,CONNECT,95,3
FRIGHTENED,SCARE,95,6
FREEZE,CHILL,95,17
BAPTIST,RELIGION,95,8
CAUTION,WARN,95,4
