,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,TEAM,200,152,N,True
1,PIGMENT,COLOR,200,193,N,True
2,INVENT,INNOVATION,200,195,N,False
3,LEVER,MECHANISM,200,71,N,True
4,RELIABLE,TRUSTWORTHY,200,168,N,True
5,FACTORY,PRODUCTION,200,162,N,True
6,DENT,DAMAGE,200,198,N,True
7,NEIGHBOR,COMMUNITY,200,200,N,True
8,IMAGINATION,CREATIVITY,200,198,N,True
9,LIVING,LIFE,200,154,N,True
10,SEASON,TIME,200,81,N,True
11,SHOWER,CLEANLINESS,200,73,N,True
12,PRIM,FORMAL,200,63,N,True
13,RURAL,COUNTRYSIDE,200,198,N,False
14,CHEDDAR,CHEESE,200,199,N,True
15,DECORATION,ORNAMENT,200,132,N,True
16,FENCE,BOUNDARY,200,167,N,True
17,CORPORAL,MILITARY,200,18,N,True
18,BRIEF,SHORT,200,42,AJ,True
19,ANXIETY,STRESS,200,18,N,True
20,ASSUME,PRESUME,200,190,N,True
21,DISCOURAGE,DETER,200,156,N,True
22,ROPE,CORD,200,91,N,True
23,HAUNT,GHOST,200,139,N,True
24,SECURE,SAFE,200,197,N,True
25,SURFACE,EXTERIOR,200,171,N,True
26,RADIO,BROADCAST,200,167,N,True
27,PUKE,VOMIT,200,200,N,True
28,EDGE,BORDER,200,89,N,True
29,CALIFORNIA,STATE,200,28,N,True
30,SAVE,PRESERVE,200,188,N,True
31,CATERPILLAR,LARVA,200,75,N,True
32,FLUSH,ELIMINATE,200,12,N,True
33,BASIC,FUNDAMENTAL,200,191,N,True
34,GOODBYE,FAREWELL,200,200,N,True
35,STRANGE,UNUSUAL,200,160,N,True
36,STRAP,FASTEN,200,162,N,True
37,CONSIDER,PONDER,200,169,N,True
38,ROOF,TOP,200,75,N,True
39,DANGEROUS,HAZARDOUS,200,184,N,True
40,IMPORTANT,SIGNIFICANT,200,97,N,True
41,BULLY,INTIMIDATE,200,199,N,True
42,LIGHT,ILLUMINATION,200,37,N,True
43,KING,MONARCH,200,79,N,True
44,ANGLE,PERSPECTIVE,200,167,N,True
45,POPCORN,SNACK,198,198,N,True
46,FIN,APPENDAGE,200,36,N,True
47,SUICIDE,SELF,200,65,N,True
48,PENCIL,WRITING TOOL,200,20,N,False
49,BUTTER,SPREAD,200,184,N,True
50,FISHING,ANGLING,200,148,N,True
51,DIRECT,GUIDE,200,149,N,True
52,INSURANCE,COVERAGE,200,89,N,True
53,SOUTHERN,SOUTHERN REGION,200,2,N,False
54,DECISION,CHOICE,200,200,N,True
55,ATTACK,ASSAULT,200,174,N,True
56,CLERK,EMPLOYEE,200,42,N,True
57,ACTIVITY,ACTION,200,107,N,True
58,POLICE,LAW ENFORCEMENT,200,106,N,False
59,BOND,CONNECTION,200,196,N,True
60,FRIGHTENED,TERRIFIED,200,36,N,True
61,FREEZE,SOLIDIFY,200,152,N,True
62,BAPTIST,DENOMINATION,200,32,N,True
63,ENTERTAINMENT,AMUSEMENT,200,196,N,True
64,CAUTION,WARNING,200,129,N,True
65,FEMALE,WOMAN,200,199,N,True
66,FLEA,PARASITE,200,147,N,True
67,GRADUATE,GRADUATION,200,1,N,True
68,SHUT,CLOSE,200,197,N,True
69,STOP,HALT,200,161,N,True
70,FREQUENT,REGULAR,200,187,N,True
71,CIGAR,SMOKE,200,161,N,True
72,BURIAL,INTERMENT,200,159,N,True
73,MEND,REPAIR,200,197,N,True
74,SEPARATE,DIVIDE,200,200,N,True
75,STARS,CELESTIAL BODIES,200,30,N,False
76,EYEBALL,EYE,200,52,N,True
77,STRICT,STRINGENT,200,32,N,True
78,CUSS,CURSE,200,47,N,True
79,ALARM,ALERT,200,191,N,True
80,BRAKE,STOP,200,175,N,True
81,ABILITY,SKILL,200,102,N,True
82,BLUFF,DECEIVE,200,152,N,True
83,OUTCOME,RESULT,200,200,N,True
84,MINK,FUR,200,197,N,True
85,FORBIDDEN,PROHIBITED,200,195,N,True
86,ASTEROID,CELESTIAL OBJECT,200,26,N,False
87,JOY,HAPPINESS,200,197,N,True
88,ACQUIRE,OBTAIN,200,200,N,True
89,ECONOMY,FINANCIAL SYSTEM,200,43,N,False
90,FLOAT,DRIFT,200,185,N,True
91,PLAYING,RECREATION,200,138,N,True
92,BOIL,COOK,200,76,N,True
93,DOMAIN,TERRITORY,200,190,N,True
94,INCLINE,SLOPE,200,113,N,True
95,ANXIOUS,WORRIED,200,170,N,True
96,BRANDY,LIQUOR,200,102,N,True
97,RECIPE,COOKING INSTRUCTIONS,200,37,N,False
98,SUN,STAR,200,82,N,True
99,FRIENDSHIP,COMPANIONSHIP,200,163,N,True
100,LEVER,POWER,200,65,N,True
101,SHOWER,CLEANSE,200,31,N,True
102,PRIM,PROPER,200,83,N,True
103,CORPORAL,PHYSICAL,200,164,N,True
104,ANXIETY,WORRY,200,163,N,True
105,DISCOURAGE,DEMORALIZE,200,9,N,True
106,ROPE,TIE,200,32,N,True
107,HAUNT,GHOSTLY,200,29,N,False
108,CALIFORNIA,SUNSHINE,200,156,N,True
109,CATERPILLAR,METAMORPHOSIS,200,49,N,True
110,FLUSH,CLEANSE,200,130,N,True
111,ROOF,OVERHEAD,200,76,N,True
112,IMPORTANT,CRUCIAL,200,47,N,True
113,LIGHT,ILLUMINATE,200,159,N,True
114,KING,RULER,200,85,N,True
115,ANGLE,CORNER,200,11,N,True
116,FIN,SWIMMER,200,3,N,True
117,SUICIDE,TRAGIC,200,22,N,False
118,PENCIL,WRITING,200,124,N,True
119,SOUTHERN,SOUTHERN,200,46,N,True
120,CLERK,ATTENDANT,200,101,N,True
121,FRIGHTENED,SCARED,200,156,N,True
122,BAPTIST,RELIGION,200,76,N,True
123,GRADUATE,DEGREE,200,64,N,True
124,STOP,CEASE,200,39,N,True
125,BURIAL,FUNERAL,200,38,N,True
126,STARS,CELESTIAL,200,169,N,False
127,EYEBALL,VISION,200,97,N,True
128,STRICT,RIGOROUS,200,150,N,True
129,CUSS,SWEAR,200,153,N,True
130,ASTEROID,METEOR,200,7,N,True
131,ECONOMY,FINANCIAL,200,75,N,False
132,PLAYING,FUN,200,47,N,True
133,BOIL,HEAT,200,114,N,True
134,RECIPE,COOKING,200,93,N,True
135,SUN,SHINE,200,18,N,True
136,PRIM,REFINED,200,10,N,True
137,DECORATION,ORNAMENTATION,200,31,N,True
138,FENCE,BARRIER,200,28,N,True
139,BRIEF,CONCISE,200,156,N,False
140,FLUSH,EMPTY,200,3,N,True
141,STRANGE,PECULIAR,200,21,N,True
142,FIN,FINALE,200,22,N,True
143,SOUTHERN,SOUTH,200,25,N,True
144,GRADUATE,DIPLOMA,200,13,N,True
145,EYEBALL,ORB,200,2,N,True
146,STRICT,RIGID,200,12,N,True
147,ABILITY,CAPABILITY,200,93,N,True
148,ASTEROID,SPACE,200,96,N,True
149,RECIPE,FORMULA,200,37,N,True
150,SEASON,CHANGE,200,114,N,True
151,ROPE,TETHER,200,19,N,True
152,EDGE,BOUNDARY,200,108,N,True
153,CATERPILLAR,TRANSFORMATION,200,64,N,True
154,ROOF,SHELTER,200,40,N,True
155,FIN,SWIM,200,44,N,True
156,SUICIDE,TRAGEDY,200,98,N,True
157,PENCIL,WRITE,200,42,V,True
158,FISHING,CATCH,200,35,N,True
159,DIRECT,LEAD,200,51,N,True
160,INSURANCE,PROTECTION,200,110,N,True
161,SOUTHERN,WARM,200,47,AJ,True
162,ATTACK,STRIKE,200,14,N,True
163,CLERK,ASSISTANT,200,30,N,True
164,ACTIVITY,ENGAGE,200,11,N,False
165,POLICE,LAW,200,39,N,True
166,FREEZE,FROST,200,1,N,True
167,BAPTIST,BAPTIZE,200,5,N,False
168,ENTERTAINMENT,AMUSE,200,4,N,False
169,CAUTION,ALERT,200,23,N,True
170,FREQUENT,REGULARLY,200,3,N,False
171,INCLINE,TILT,200,14,N,True
172,ANXIOUS,NERVOUS,200,27,N,True
173,RECIPE,COOK,200,9,N,True
174,FRIENDSHIP,BOND,200,14,N,True
175,SHOWER,CLEANSING,200,6,N,True
176,CORPORAL,SOLDIER,200,4,N,True
177,ROPE,PULL,200,2,N,True
178,SAVE,PROTECT,200,3,N,True
179,ANGLE,SLOPE,200,15,N,True
180,SUICIDE,DESPAIR,200,6,N,True
181,ACTIVITY,ENGAGEMENT,200,76,N,True
182,BAPTIST,BAPTISM,200,15,N,True
183,GRADUATE,ACCOMPLISH,200,26,N,True
184,CIGAR,SMOKING,200,3,N,True
185,BRAKE,HALT,200,5,N,True
186,BLUFF,DECEPTION,200,48,N,True
187,ASTEROID,CELESTIAL,200,37,N,True
