Cues,Targets,Sample Size,Count
CREW,TEAM,198,197
PIGMENT,COLOR,197,196
INVENT,INNOVATION,197,41
LEVER,MECHANICAL,197,17
RELIABLE,TRUSTWORTHY,197,170
FACTORY,MANUFACTURING,197,45
DENT,DAMAGE,197,189
NEIGHBOR,COMMUNITY,197,91
IMAGINATION,CREATIVITY,197,169
LIVING,LIFE,197,138
SEASON,WEATHER,197,66
SHOWER,CLEAN,197,37
PRIM,FORMAL,197,28
RURAL,COUNTRYSIDE,197,196
CHEDDAR,CHEESE,197,196
DECORATION,ORNAMENT,197,169
FENCE,BARRIER,197,100
CORPORAL,PHYSICAL,197,95
BRIEF,SHORT,197,147
ANXIETY,WORRY,197,81
ASSUME,PRESUME,197,160
DISCOURAGE,DETER,197,168
ROPE,KNOT,197,39
HAUNT,GHOST,197,189
SECURE,SAFE,197,194
SURFACE,TOP,197,116
RADIO,BROADCAST,197,181
PUKE,VOMIT,197,196
EDGE,BORDER,197,152
CALIFORNIA,STATE,197,169
SAVE,RESCUE,197,50
CATERPILLAR,LARVA,197,166
FLUSH,DRAIN,197,47
BASIC,FUNDAMENTAL,197,125
GOODBYE,FAREWELL,197,196
STRANGE,ODD,197,75
STRAP,SECURE,197,24
CONSIDER,PONDER,197,164
ROOF,CEILING,197,52
DANGEROUS,HAZARDOUS,197,181
IMPORTANT,CRUCIAL,197,65
BULLY,INTIMIDATE,196,185
LIGHT,ILLUMINATE,196,160
KING,MONARCH,196,96
ANGLE,CORNER,196,101
POPCORN,SNACK,196,191
FIN,FINALE,196,30
SUICIDE,SELF,196,150
PENCIL,WRITING,196,119
BUTTER,SPREAD,196,192
FISHING,ANGLING,196,154
DIRECT,LEAD,196,25
INSURANCE,COVERAGE,196,187
SOUTHERN,SOUTHERN,196,57
DECISION,CHOICE,196,195
ATTACK,ASSAULT,196,172
CLERK,EMPLOYEE,196,90
ACTIVITY,ACTION,196,172
POLICE,ENFORCEMENT,196,5
BOND,CONNECTION,196,156
FRIGHTENED,SCARED,196,184
FREEZE,SOLIDIFY,196,149
BAPTIST,RELIGION,196,101
ENTERTAINMENT,AMUSEMENT,196,185
CAUTION,WARNING,196,157
FEMALE,WOMAN,196,195
FLEA,INSECT,196,58
GRADUATE,DIPLOMA,196,30
SHUT,CLOSE,196,194
STOP,CEASE,196,41
FREQUENT,REGULAR,196,152
CIGAR,SMOKE,196,161
BURIAL,INTERMENT,196,138
MEND,REPAIR,196,182
SEPARATE,DIVIDE,196,195
STARS,CELESTIAL,196,184
EYEBALL,EYE,196,125
STRICT,RIGOROUS,195,141
CUSS,SWEAR,195,155
ALARM,ALERT,195,190
BRAKE,STOP,195,179
ABILITY,SKILL,195,146
BLUFF,DECEPTION,195,13
OUTCOME,RESULT,195,194
MINK,FUR,195,176
FORBIDDEN,PROHIBITED,195,185
ASTEROID,SPACE,195,100
JOY,HAPPINESS,195,193
ACQUIRE,OBTAIN,195,193
ECONOMY,FINANCIAL,195,61
FLOAT,DRIFT,195,174
PLAYING,RECREATION,194,114
BOIL,HEAT,195,100
DOMAIN,TERRITORY,195,174
INCLINE,SLOPE,195,162
