,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,TEAM,198,197,N,True
1,PIGMENT,COLOR,197,196,N,True
2,INVENT,INNOVATION,197,41,N,False
3,LEVER,MECHANICAL,197,17,N,False
4,RELIABLE,TRUSTWORTHY,197,170,N,True
5,FACTORY,MANUFACTURING,197,45,N,True
6,DENT,DAMAGE,197,189,N,True
7,NEIGHBOR,COMMUNITY,197,91,N,True
8,IMAGINATION,CREATIVITY,197,169,N,True
9,LIVING,LIFE,197,138,N,True
10,SEASON,WEATHER,197,66,N,True
11,SHOWER,CLEAN,197,37,N,True
12,PRIM,FORMAL,197,28,N,True
13,RURAL,COUNTRYSIDE,197,196,N,False
14,CHEDDAR,CHEESE,197,196,N,True
15,DECORATION,ORNAMENT,197,169,N,True
16,FENCE,BARRIER,197,100,N,True
17,CORPORAL,PHYSICAL,197,95,N,True
18,BRIEF,SHORT,197,147,AJ,True
19,ANXIETY,WORRY,197,81,N,True
20,ASSUME,PRESUME,197,160,N,True
21,DISCOURAGE,DETER,197,168,N,True
22,ROPE,KNOT,197,39,N,True
23,HAUNT,GHOST,197,189,N,True
24,SECURE,SAFE,197,194,N,True
25,SURFACE,TOP,197,116,N,True
26,RADIO,BROADCAST,197,181,N,True
27,PUKE,VOMIT,197,196,N,True
28,EDGE,BORDER,197,152,N,True
29,CALIFORNIA,STATE,197,169,N,True
30,SAVE,RESCUE,197,50,N,True
31,CATERPILLAR,LARVA,197,166,N,True
32,FLUSH,DRAIN,197,47,N,True
33,BASIC,FUNDAMENTAL,197,125,N,True
34,GOODBYE,FAREWELL,197,196,N,True
35,STRANGE,ODD,197,75,N,True
36,STRAP,SECURE,197,24,N,True
37,CONSIDER,PONDER,197,164,N,True
38,ROOF,CEILING,197,52,N,True
39,DANGEROUS,HAZARDOUS,197,181,N,True
40,IMPORTANT,CRUCIAL,197,65,N,True
41,BULLY,INTIMIDATE,196,185,N,True
42,LIGHT,ILLUMINATE,196,160,N,True
43,KING,MONARCH,196,96,N,True
44,ANGLE,CORNER,196,101,N,True
45,POPCORN,SNACK,196,191,N,True
46,FIN,FINALE,196,30,N,True
47,SUICIDE,SELF,196,150,N,True
48,PENCIL,WRITING,196,119,N,True
49,BUTTER,SPREAD,196,192,N,True
50,FISHING,ANGLING,196,154,N,True
51,DIRECT,LEAD,196,25,N,True
52,INSURANCE,COVERAGE,196,187,N,True
53,SOUTHERN,SOUTHERN,196,57,N,True
54,DECISION,CHOICE,196,195,N,True
55,ATTACK,ASSAULT,196,172,N,True
56,CLERK,EMPLOYEE,196,90,N,True
57,ACTIVITY,ACTION,196,172,N,True
58,POLICE,ENFORCEMENT,196,5,N,True
59,BOND,CONNECTION,196,156,N,True
60,FRIGHTENED,SCARED,196,184,N,True
61,FREEZE,SOLIDIFY,196,149,N,True
62,BAPTIST,RELIGION,196,101,N,True
63,ENTERTAINMENT,AMUSEMENT,196,185,N,True
64,CAUTION,WARNING,196,157,N,True
65,FEMALE,WOMAN,196,195,N,True
66,FLEA,INSECT,196,58,N,True
67,GRADUATE,DIPLOMA,196,30,N,True
68,SHUT,CLOSE,196,194,N,True
69,STOP,CEASE,196,41,N,True
70,FREQUENT,REGULAR,196,152,N,True
71,CIGAR,SMOKE,196,161,N,True
72,BURIAL,INTERMENT,196,138,N,True
73,MEND,REPAIR,196,182,N,True
74,SEPARATE,DIVIDE,196,195,N,True
75,STARS,CELESTIAL,196,184,N,False
76,EYEBALL,EYE,196,125,N,True
77,STRICT,RIGOROUS,195,141,N,True
78,CUSS,SWEAR,195,155,N,True
79,ALARM,ALERT,195,190,N,True
80,BRAKE,STOP,195,179,N,True
81,ABILITY,SKILL,195,146,N,True
82,BLUFF,DECEPTION,195,13,N,True
83,OUTCOME,RESULT,195,194,N,True
84,MINK,FUR,195,176,N,True
85,FORBIDDEN,PROHIBITED,195,185,N,True
86,ASTEROID,SPACE,195,100,N,True
87,JOY,HAPPINESS,195,193,N,True
88,ACQUIRE,OBTAIN,195,193,N,True
89,ECONOMY,FINANCIAL,195,61,N,False
90,FLOAT,DRIFT,195,174,N,True
91,PLAYING,RECREATION,194,114,N,True
92,BOIL,HEAT,195,100,N,True
93,DOMAIN,TERRITORY,195,174,N,True
94,INCLINE,SLOPE,195,162,N,True
95,ANXIOUS,WORRIED,195,183,N,True
96,BRANDY,LIQUOR,195,117,N,True
97,RECIPE,INSTRUCTION,195,2,N,True
98,SUN,STAR,195,180,N,True
99,FRIENDSHIP,COMPANIONSHIP,195,155,N,True
100,INVENT,CREATE,197,142,N,True
101,LEVER,MECHANISM,197,79,N,True
102,FACTORY,MANUFACTURE,197,4,N,True
103,NEIGHBOR,NEIGHBOURHOOD,197,1,N,True
104,IMAGINATION,CREATIVE,197,25,N,False
105,SEASON,TIME,197,91,N,True
106,SHOWER,RAIN,197,47,N,True
107,PRIM,PROPER,197,136,N,True
108,CORPORAL,MILITARY,197,22,N,True
109,ANXIETY,STRESS,197,111,N,True
110,DISCOURAGE,DISSUADE,197,4,N,True
111,ROPE,TWINE,197,1,N,True
112,HAUNT,LINGER,197,1,N,True
113,FLUSH,TOILET,197,19,N,True
114,STRAP,FASTEN,197,108,N,True
115,CONSIDER,THINK,197,21,N,True
116,IMPORTANT,SIGNIFICANT,197,76,N,True
117,KING,RULER,196,94,N,True
118,ANGLE,DIRECTION,196,4,N,True
119,FIN,SWIM,196,34,N,True
120,DIRECT,GUIDE,196,166,N,True
121,SOUTHERN,SOUTH,196,78,N,True
122,ATTACK,STRIKE,196,16,N,True
123,ACTIVITY,ENGAGEMENT,196,10,N,True
124,POLICE,OFFICER,196,27,N,True
