,Cues,Targets,Sample Size,Count,Part of Speech,Synonym
0,CREW,TEAMWORK,74,65,N,True
1,PIGMENT,COLORFUL,74,37,N,False
2,INVENT,CREATION,74,22,N,False
3,LEVER,PULL,74,52,N,True
4,RELIABLE,TRUST,74,42,N,False
5,FACTORY,INDUSTRIAL,74,67,N,False
6,DENT,PAIN,74,61,N,True
7,NEIGHBOR,FAMILIARITY,74,4,N,True
8,IMAGINATION,CREATIVITY,74,46,N,True
9,LIVING,VIVID,74,1,N,True
10,SEASON,CYCLICAL,74,3,N,False
11,SHOWER,MOISTURE,74,1,N,True
12,PRIM,PROPER,74,46,N,True
13,RURAL,RUSTIC,74,3,N,False
14,CHEDDAR,CHEESY,74,46,N,False
15,DECORATION,FESTIVE,74,47,N,False
16,FENCE,BOUNDARY,74,27,N,True
17,CORPORAL,DISCIPLINE,74,16,N,True
18,BRIEF,CONCISE,74,11,N,False
19,ANXIETY,STRESS,74,36,N,True
20,ASSUME,PRESUPPOSITION,74,2,N,False
21,DISCOURAGE,DETERRENT,74,4,N,False
22,ROPE,TENSION,74,8,N,True
23,HAUNT,GHOSTLY,74,19,N,False
24,SECURE,SAFETY,74,38,N,False
25,SURFACE,TEXTURE,74,55,N,True
26,RADIO,BROADCAST,74,25,N,True
27,PUKE,DISGUST,74,24,N,True
28,EDGE,BOUNDLESS,74,1,N,False
29,CALIFORNIA,BEACH,74,24,N,True
30,SAVE,RESCUE,74,56,N,True
31,CATERPILLAR,TRANSFORMATION,74,40,N,True
32,FLUSH,CLEANLINESS,74,11,N,True
33,BASIC,SIMPLICITY,74,37,N,True
34,GOODBYE,FAREWELL,74,73,N,True
35,STRANGE,UNUSUAL,74,38,N,True
36,STRAP,TIGHTNESS,74,2,N,True
37,CONSIDER,THOUGHTFULNESS,74,1,N,False
38,ROOF,PROTECTIVE,74,1,N,False
39,DANGEROUS,THREAT,74,25,N,False
40,IMPORTANT,SIGNIFICANT,74,46,N,True
41,BULLY,INTIMIDATION,74,14,N,True
42,LIGHT,SHIMMERING,74,1,N,True
43,KING,MAJESTIC,74,6,N,False
44,ANGLE,PERSPECTIVE,74,74,N,True
45,POPCORN,CRUNCHY,74,49,N,False
46,FIN,SWIMMING,74,6,N,True
47,SUICIDE,DESPERATION,74,7,N,True
48,PENCIL,SHARPNESS,74,1,N,True
49,PEANUT BUTTER,CREAMINESS,74,2,N,False
50,FISHING,RELAXING,74,11,N,True
51,DIRECT,GUIDANCE,74,31,N,False
52,INSURANCE,PROTECTION,74,56,N,True
53,SOUTHERN,HOMELY,74,2,N,True
54,DECISION,CHOICE,74,63,N,True
55,ATTACK,AGGRESSION,74,32,N,True
56,CLERK,ADMINISTRATIVE,74,6,AJ,False
57,ACTIVITY,ENGAGING,74,9,N,False
58,POLICE,JUSTICE,74,23,N,True
59,BOND,COMMITMENT,74,1,N,True
60,FRIGHTENED,PANIC,74,1,N,True
61,FREEZE,COLDNESS,74,2,N,True
62,BAPTIST,SPIRITUAL,74,14,N,True
63,ENTERTAINMENT,AMUSEMENTS,74,1,N,True
64,CAUTION,WARNING,74,62,N,True
65,FEMALE,FEMININE,74,19,N,True
66,FLEA,TINY,74,16,N,False
67,GRADUATE,SUCCESS,74,21,N,True
68,SHUT,CLOSURE,74,16,N,True
69,STOP,RESTRICT,74,1,N,True
70,FREQUENT,REPETITION,74,2,N,False
71,CIGAR,SMOKEY,74,19,N,False
72,BURIAL,MOURN,74,1,N,False
73,MEND,REPAIR,74,63,N,True
74,SEPARATE,DIVISION,74,34,N,True
75,STARS,SPARKLING,74,3,N,True
76,EYEBALL,VISUAL,74,15,N,False
77,STRICT,DISCIPLINE,74,29,N,False
78,CUSS,OFFENSIVE,74,1,N,True
79,ALARM,ALERT,74,59,N,True
80,BRAKE,STOPPING,74,3,N,True
81,ABILITY,COMPETENCE,74,3,N,True
82,BLUFF,DECEPTION,74,27,N,True
83,OUTCOME,RESULT,74,74,N,True
84,MINK,LUXURIOUS,74,5,N,False
85,FORBIDDEN,TABOO,74,41,N,True
86,ASTEROID,CELESTIAL,74,4,N,True
87,JOY,BLISS,74,5,N,True
88,ACQUIRE,GAIN,74,38,N,True
89,ECONOMY,FINANCIAL,74,26,N,False
90,FLOAT,WEIGHTLESS,74,19,N,False
91,PLAYING,GAME,74,24,N,True
92,BOIL,HEAT,74,55,N,True
93,DOMAIN,SOVEREIGNTY,74,2,N,True
94,INCLINE,ASCENDING,74,1,N,True
95,ANXIOUS,NERVOUS,74,14,N,True
96,BRANDY,WARMTH,74,2,N,True
97,RECIPE,INSTRUCTION,74,22,N,True
98,SUN,BRIGHT,74,17,N,False
99,FRIENDSHIP,FRIENDLY,74,3,N,True
100,PIGMENT,COLOR,74,33,N,True
101,INVENT,INNOVATION,74,19,N,False
102,NEIGHBOR,COMMUNITY,74,52,N,True
103,LIVING,LIFE,74,35,N,True
104,SEASON,CHANGE,74,48,N,True
105,SHOWER,RAIN,74,16,N,True
106,RURAL,NATURE,74,7,N,False
107,CHEDDAR,CHEESE,74,17,N,True
108,DECORATION,CELEBRATION,74,1,N,True
109,FENCE,BARRIER,74,43,N,True
110,CORPORAL,MILITARY,74,28,N,True
111,BRIEF,SUMMARY,74,31,N,True
112,ANXIETY,FEAR,74,15,N,True
113,ASSUME,PRESUME,74,39,N,True
114,DISCOURAGE,DETER,74,27,N,True
115,ROPE,BIND,74,15,N,True
116,HAUNT,GHOST,74,6,N,True
117,SECURE,PROTECTION,74,4,N,False
118,RADIO,SOUND,74,12,N,True
119,PUKE,VOMIT,74,11,N,True
120,EDGE,BORDER,74,8,N,True
121,FLUSH,CLEAN,74,26,N,True
122,BASIC,FUNDAMENTAL,74,18,N,True
123,STRAP,BIND,74,14,N,True
124,CONSIDER,THOUGHT,74,9,N,True
125,ROOF,SHELTER,74,62,N,True
126,BULLY,INTIMIDATE,74,24,N,True
127,LIGHT,ILLUMINATION,74,14,N,True
128,KING,ROYALTY,74,17,N,True
129,POPCORN,SNACK,74,15,N,True
130,FIN,END,74,2,N,True
131,SUICIDE,DESPAIR,74,35,N,True
132,PENCIL,DRAWING,74,8,N,True
133,PEANUT BUTTER,SPREAD,74,7,N,False
134,FISHING,HOBBY,74,7,N,True
135,INSURANCE,GUARANTEE,74,5,N,True
136,SOUTHERN,HOSPITALITY,74,9,N,False
137,CLERK,SECRETARY,74,1,N,True
138,ACTIVITY,INVOLVEMENT,74,1,N,True
139,BOND,UNITY,74,24,N,True
140,FRIGHTENED,SCARED,74,40,N,True
141,FREEZE,COLD,74,58,N,True
142,BAPTIST,RELIGIOUS,74,25,N,True
143,ENTERTAINMENT,SHOW,74,31,N,True
144,FEMALE,WOMAN,74,27,N,True
145,FLEA,BUG,74,1,N,True
146,GRADUATE,ACHIEVEMENT,74,33,N,True
147,SHUT,SILENCE,74,5,N,True
148,STOP,HALT,74,56,N,True
149,FREQUENT,REGULAR,74,18,N,True
150,CIGAR,SMOKE,74,23,N,True
151,BURIAL,FUNERAL,74,40,N,True
152,SEPARATE,DIVIDE,74,30,N,True
153,STARS,GALAXY,74,15,N,True
154,EYEBALL,VISION,74,40,N,True
155,CUSS,SWEAR,74,31,N,True
156,BRAKE,STOP,74,58,N,True
157,ABILITY,TALENT,74,23,N,True
158,MINK,FUR,74,20,N,True
159,FORBIDDEN,PROHIBITION,74,8,N,False
160,ASTEROID,SPACE,74,50,N,True
161,JOY,HAPPINESS,74,65,N,True
162,ACQUIRE,OWN,74,2,AJ,True
163,ECONOMY,FINANCE,74,15,N,True
164,FLOAT,DRIFT,74,14,N,True
165,DOMAIN,TERRITORY,74,38,N,True
166,INCLINE,ASCENT,74,1,N,True
167,ANXIOUS,WORRIED,74,24,N,True
168,BRANDY,SPIRIT,74,2,N,True
169,FRIENDSHIP,COMPANIONSHIP,74,21,N,True
170,LEVER,PUSH,74,12,N,True
171,RELIABLE,TRUSTWORTHY,74,29,N,True
172,LIVING,ALIVE,74,8,N,True
173,SEASON,CYCLE,74,5,N,True
174,SHOWER,WET,74,15,N,True
175,RURAL,COUNTRYSIDE,74,32,N,False
176,CORPORAL,HIERARCHY,74,1,N,True
177,ASSUME,PREDICT,74,3,N,True
178,DISCOURAGE,DISCOURAGEMENT,74,2,N,False
179,ROPE,TIGHT,74,11,N,False
180,EDGE,BOUNDARY,74,26,N,True
181,CALIFORNIA,GOLDEN,74,2,N,False
182,FLUSH,CLEANSE,74,31,N,True
183,STRANGE,UNCANNY,74,2,N,True
184,STRAP,TIGHTEN,74,12,N,True
185,CONSIDER,REASON,74,1,N,True
186,ROOF,COVER,74,4,N,True
187,IMPORTANT,SIGNIFICANCE,74,11,N,False
188,BULLY,HARASSMENT,74,5,N,True
189,KING,ROYAL,74,28,N,True
190,FIN,SWIM,74,49,N,True
191,PENCIL,WRITE,74,27,V,True
192,PEANUT BUTTER,CREAMY,74,43,N,False
193,FISHING,MARINE,74,2,N,True
194,DIRECT,GUIDE,74,14,N,True
195,SOUTHERN,NOSTALGIC,74,1,N,True
196,ATTACK,OFFENSIVE,74,3,N,True
197,CLERK,BUREAUCRAT,74,5,N,True
198,ACTIVITY,ENGAGEMENT,74,25,N,True
199,POLICE,AUTHORITY,74,20,N,True
200,FREEZE,CHILL,74,5,N,True
201,ENTERTAINMENT,FUN,74,26,N,True
202,FLEA,INFESTATION,74,2,N,True
203,SHUT,CLOSED,74,14,N,True
204,STARS,TWINKLE,74,18,N,True
205,STRICT,STRICTNESS,74,1,N,False
206,BRAKE,HALT,74,7,N,True
207,ABILITY,CAPABILITY,74,20,N,True
208,BLUFF,DECEPTIVE,74,2,N,True
209,MINK,LUXURY,74,16,N,True
210,FORBIDDEN,RESTRICTED,74,10,N,True
211,ASTEROID,SPACIAL,74,1,N,False
212,ACQUIRE,OWNERSHIP,74,7,N,False
213,PLAYING,GAMING,74,11,N,True
214,DOMAIN,KINGDOM,74,6,N,True
215,INCLINE,SLOPE,74,15,N,True
216,ANXIOUS,WORRY,74,29,N,False
217,BRANDY,SPIRITUAL,74,2,N,True
218,SUN,RADIANT,74,10,N,False
219,FRIENDSHIP,UNITY,74,5,N,True
220,IMAGINATION,FANTASY,74,13,N,True
221,SEASON,AUTUMN,74,5,N,True
222,SHOWER,REFRESHING,74,20,N,True
223,CORPORAL,PHYSICAL,74,23,N,True
224,ANXIETY,WORRY,74,20,N,True
225,DISCOURAGE,DETERRENCE,74,2,N,False
226,PUKE,SICK,74,9,N,True
227,CALIFORNIA,SUNSHINE,74,20,N,True
228,SAVE,SURVIVAL,74,1,N,True
229,STRANGE,ALIEN,74,2,N,True
230,STRAP,SECURE,74,15,N,True
231,CONSIDER,DELIBERATION,74,2,N,False
232,DANGEROUS,RISK,74,31,N,False
233,BULLY,HARASS,74,9,N,True
234,LIGHT,BRIGHTNESS,74,19,N,True
235,SUICIDE,DEPRESSION,74,12,N,True
236,PENCIL,DRAW,74,16,N,True
237,FISHING,RELAXATION,74,15,N,True
238,SOUTHERN,DIRECTION,74,1,N,False
239,CLERK,ASSISTANT,74,8,N,True
240,BOND,CONNECTION,74,25,N,True
241,BAPTIST,BELIEVER,74,3,N,True
242,FEMALE,WOMANLY,74,3,N,True
243,FLEA,ITCHY,74,30,N,False
244,SHUT,QUIET,74,4,N,True
245,FREQUENT,ROUTINE,74,4,AJ,True
246,CIGAR,SMOKY,74,25,N,False
247,BURIAL,FINAL,74,1,N,True
248,STARS,CELESTIAL,74,13,N,False
249,EYEBALL,SEEING,74,1,N,True
250,STRICT,DISCIPLINED,74,2,N,True
251,CUSS,VULGAR,74,9,N,False
252,ABILITY,CAPABILITIES,74,1,N,True
253,MINK,SOFT,74,7,AJ,False
254,DOMAIN,CONTROL,74,3,N,True
255,BRANDY,SPIRITS,74,4,N,True
256,RECIPE,MEAL,74,1,N,True
257,SUN,RAYS,74,3,N,True
258,LIVING,VITALITY,74,7,N,True
259,SEASON,CYCLES,74,1,N,True
260,ANXIETY,TENSION,74,1,N,True
261,ASSUME,PRESUMPTION,74,8,N,False
262,DISCOURAGE,DEMOTIVATION,74,3,N,False
263,SECURE,SAFE,74,31,N,True
264,SURFACE,TEXTURED,74,4,N,False
265,PUKE,SICKENING,74,4,N,True
266,EDGE,KNIFE,74,1,N,True
267,CALIFORNIA,COASTAL,74,3,N,False
268,BASIC,FOUNDATION,74,4,N,True
269,STRAP,BOUND,74,6,N,True
270,CONSIDER,THINKING,74,1,N,True
271,ROOF,PROTECTION,74,5,N,True
272,DANGEROUS,RISKY,74,10,AJ,True
273,IMPORTANT,CRITICAL,74,3,N,True
274,BULLY,INTIMIDATING,74,2,N,True
275,LIGHT,BRIGHT,74,28,N,True
276,KING,MAJESTY,74,8,N,True
277,PENCIL,SKETCH,74,8,N,True
278,FISHING,OUTDOORS,74,7,N,True
279,DIRECT,LEADERSHIP,74,1,N,False
280,SOUTHERN,REGIONAL,74,1,N,True
281,ATTACK,ASSAULT,74,13,N,True
282,CLERK,ADMINISTRATION,74,2,N,True
283,ACTIVITY,ACTION,74,10,N,True
284,BOND,LOYALTY,74,5,N,True
285,FRIGHTENED,SCARY,74,11,N,True
286,ENTERTAINMENT,SHOWBIZ,74,11,N,False
287,GRADUATE,PROGRESS,74,1,N,True
288,FREQUENT,VISITOR,74,1,N,False
289,BURIAL,GRAVE,74,4,N,True
290,CUSS,PROFANITY,74,9,N,True
291,MINK,FURRY,74,24,N,False
292,ASTEROID,COSMIC,74,11,N,True
293,ACQUIRE,POSSESSION,74,7,N,False
294,FLOAT,LEVITATION,74,5,N,True
295,BOIL,BUBBLING,74,1,N,True
296,INCLINE,UPHILL,74,6,N,True
297,BRANDY,INTOXICATION,74,1,N,True
298,RECIPE,INGREDIENT,74,5,N,True
299,SUN,WARMTH,74,19,N,True
300,FRIENDSHIP,BONDING,74,7,N,True
301,CREW,SAILOR,74,3,N,True
302,PRIM,STIFF,74,2,N,True
303,ASSUME,BELIEVE,74,2,N,True
304,SURFACE,FLAT,74,3,N,True
305,RADIO,SONG,74,1,N,True
306,EDGE,SHARP,74,14,N,True
307,CATERPILLAR,CRAWL,74,3,N,True
308,STRAP,TIGHT,74,5,N,False
309,CONSIDER,THINK,74,15,N,True
310,SUICIDE,TRAGIC,74,7,N,False
311,FISHING,RELAX,74,2,N,True
312,INSURANCE,SAFETY,74,5,N,True
313,SOUTHERN,WARM,74,15,AJ,True
314,CLERK,SERVICE,74,19,N,True
315,ACTIVITY,FUN,74,4,N,True
316,POLICE,LAW,74,9,N,True
317,GRADUATE,ACHIEVE,74,12,N,True
318,FREQUENT,OFTEN,74,3,ADV,False
319,BURIAL,DEATH,74,17,N,True
320,STARS,NIGHT,74,2,N,True
321,STRICT,STRICT,74,3,N,True
322,CUSS,VOULGAR,74,1,N,False
323,ABILITY,SKILL,74,10,N,True
324,BLUFF,TRICK,74,12,N,True
325,ECONOMY,BUSINESS,74,7,N,True
326,FLOAT,BUOYANT,74,6,N,False
327,PLAYING,FUN,74,33,N,True
328,BOIL,HOT,74,8,N,False
329,INCLINE,HILL,74,2,N,True
330,BRANDY,WARM,74,8,AJ,False
331,RECIPE,INSTRUCTIONS,74,12,N,True
332,FRIENDSHIP,LOVE,74,2,N,True
333,PRIM,FORMAL,74,7,N,True
334,RURAL,FARM,74,2,N,False
335,ROPE,KNOT,74,10,N,True
336,HAUNT,SPOOKY,74,43,N,False
337,EDGE,LIMIT,74,15,N,True
338,CATERPILLAR,INSECT,74,14,N,True
339,STRANGE,BIZARRE,74,1,N,True
340,STRAP,BELT,74,3,N,True
341,CONSIDER,EVALUATE,74,10,N,True
342,IMPORTANT,PRIORITY,74,10,N,False
343,FISHING,LEISURE,74,4,N,True
344,CLERK,SERVANT,74,2,N,True
345,ACTIVITY,EXERCISE,74,4,N,True
346,BOND,FRIENDSHIP,74,2,N,True
347,FEMALE,WOMEN,74,2,N,True
348,GRADUATE,ACCOMPLISHMENT,74,1,N,True
349,FREQUENT,COMMON,74,4,N,True
350,STRICT,RIGID,74,21,N,True
351,BLUFF,FAKE,74,3,N,True
352,FORBIDDEN,RESTRICTION,74,3,N,False
353,FLOAT,BUOYANCY,74,10,N,True
354,DOMAIN,OWNERSHIP,74,9,N,True
355,INCLINE,RISE,74,19,N,True
356,BRANDY,LIQUOR,74,23,N,True
357,RECIPE,COOKING,74,23,N,True
358,SUN,GLOW,74,1,N,True
359,CREW,TEAM,74,2,N,True
360,INVENT,CREATE,74,13,N,True
361,DENT,HURT,74,3,N,True
362,DECORATION,BEAUTY,74,8,N,True
363,BRIEF,SHORT,74,26,AJ,True
364,DISCOURAGE,DEMOTIVATE,74,8,N,False
365,BASIC,ELEMENTARY,74,1,N,True
366,KING,REGAL,74,3,N,False
367,SUICIDE,DEATH,74,2,N,True
368,PEANUT BUTTER,TASTE,74,1,N,False
369,FISHING,ADVENTURE,74,4,N,True
370,DIRECT,LEAD,74,4,N,True
371,ATTACK,OFFENSE,74,7,N,True
372,POLICE,SECURITY,74,2,N,True
373,BOND,TIE,74,2,N,True
374,BAPTIST,FAITH,74,21,N,True
375,FEMALE,FEMALE,74,3,N,True
376,FLEA,ITCH,74,5,N,True
377,SHUT,CLOSE,74,34,N,True
378,STOP,PAUSE,74,1,N,True
379,BLUFF,DARE,74,1,N,True
380,ACQUIRE,OBTAIN,74,11,N,True
381,FLOAT,EMERGE,74,1,N,True
382,PLAYING,SPORT,74,1,N,True
383,BRANDY,ALCOHOL,74,3,N,True
384,SUN,LIGHT,74,2,N,True
385,FRIENDSHIP,AFFECTION,74,1,N,True
386,CREW,COMPANIONSHIP,74,3,N,True
387,PIGMENT,TEAMWORK,74,1,N,True
388,INVENT,COLOUR,74,1,N,True
389,LEVER,DISCOVERY,74,1,N,True
390,RELIABLE,CONTROL,74,1,N,False
391,LIVING,LIFELIKE,74,7,N,True
392,SHOWER,CLEANSE,74,7,N,True
393,ROPE,TWINE,74,1,N,True
394,RADIO,AUDIO,74,4,N,True
395,PUKE,REVOLTING,74,2,N,True
396,STRAP,CLASP,74,1,N,True
397,CONSIDER,DELIBERATE,74,5,N,True
398,FISHING,AQUATIC,74,3,N,True
399,DIRECT,INSTRUCT,74,1,N,True
400,SOUTHERN,HOSPITABLE,74,4,N,True
401,CLERK,ADMINISTRATOR,74,1,N,True
402,POLICE,ENFORCEMENT,74,10,N,True
403,BOND,ALLIANCE,74,3,N,True
404,FEMALE,MATERNAL,74,1,N,True
405,FREQUENT,REPEATED,74,3,N,True
406,SEPARATE,DISTANT,74,1,N,True
407,STARS,COSMIC,74,8,N,False
408,STRICT,ORDERLY,74,1,N,True
409,CUSS,SWEARING,74,4,N,True
410,ABILITY,CAPABLE,74,4,N,False
411,ASTEROID,GALACTIC,74,5,N,True
412,INCLINE,STEEP,74,15,N,True
413,FRIENDSHIP,CAMARADERIE,74,3,N,True
414,RURAL,PASTORAL,74,5,N,True
415,DECORATION,ORNAMENT,74,1,N,True
416,DISCOURAGE,DETERRING,74,1,N,True
417,ROPE,TETHER,74,3,N,True
418,PUKE,NAUSEA,74,10,N,True
419,CALIFORNIA,SUNNY,74,15,N,False
420,CONSIDER,PONDER,74,4,N,True
421,DANGEROUS,PERILOUS,74,3,N,True
422,FISHING,ANGLING,74,3,N,True
423,FLEA,PARASITE,74,2,N,True
424,STOP,CEASE,74,5,N,True
425,FREQUENT,RECURRING,74,4,N,True
426,ABILITY,CAPACITY,74,7,N,True
427,BLUFF,DECEIT,74,7,N,True
428,RECIPE,FORMULA,74,3,N,True
429,SUN,HEAT,74,4,N,True
430,FRIENDSHIP,BOND,74,23,N,True
431,LIVING,LIVELINESS,74,1,N,True
432,SEASON,TRANSITION,74,8,N,True
433,ASSUME,PREDICTION,74,1,N,False
434,ROPE,STRENGTH,74,8,N,True
435,HAUNT,EERIE,74,2,N,False
436,PUKE,SICKNESS,74,8,N,True
437,EDGE,THRILL,74,1,N,True
438,STRANGE,UNFAMILIAR,74,5,N,True
439,STRAP,RESTRAINT,74,1,N,True
440,CONSIDER,ASSESSMENT,74,1,N,False
441,BULLY,OPPRESSOR,74,4,N,True
442,SUICIDE,TRAGEDY,74,5,N,True
443,FISHING,RECREATION,74,5,N,True
444,FREQUENT,REPEAT,74,10,N,True
445,BRAKE,BRAKING,74,1,N,True
446,JOY,ELATION,74,1,N,True
447,ECONOMY,FINANCES,74,1,N,True
448,BRANDY,SWEET,74,2,AJ,True
449,FRIENDSHIP,COMRADESHIP,74,2,N,True
450,DENT,DAMAGE,74,7,N,True
451,PRIM,MODEST,74,5,N,True
452,BASIC,SIMPLE,74,6,N,True
453,DIRECT,STRAIGHT,74,5,N,True
454,SOUTHERN,SOUTHLAND,74,1,N,False
455,CLERK,ATTENDANT,74,1,N,True
456,ACTIVITY,MOVEMENT,74,5,N,True
457,CIGAR,TOBACCO,74,1,N,True
458,STARS,SPACE,74,1,N,True
459,ECONOMY,TRADE,74,14,N,True
460,RURAL,SIMPLE,74,3,N,True
461,ROPE,TWIST,74,1,N,True
462,RADIO,MUSIC,74,13,N,True
463,STRANGE,MYSTERY,74,6,N,False
464,STRAP,BINDING,74,4,N,True
465,POPCORN,CRUNCH,74,1,N,True
466,SOUTHERN,CULTURE,74,5,N,False
467,BOND,SOLIDARITY,74,1,N,True
468,FRIGHTENED,SCARE,74,11,N,True
469,BAPTIST,RITE,74,1,N,True
470,FEMALE,GENDER,74,8,N,True
471,ECONOMY,MARKET,74,4,N,True
472,INCLINE,SLANT,74,3,N,True
473,SHOWER,FRESHNESS,74,1,N,True
474,RURAL,NATURAL,74,3,N,True
475,DISCOURAGE,NEGATIVITY,74,2,N,False
476,CALIFORNIA,VASTNESS,74,1,N,True
477,SAVE,PRESERVATION,74,4,N,True
478,STRANGE,QUIRKY,74,1,N,True
479,CONSIDER,THOUGHTFUL,74,12,N,False
480,DANGEROUS,THRILL,74,1,N,False
481,POPCORN,TASTY,74,2,N,False
482,PEANUT BUTTER,NUTTY,74,10,N,False
483,DECISION,RESOLUTION,74,2,N,True
484,BOND,RELATIONSHIP,74,1,N,True
485,FLEA,ITCHINESS,74,2,N,True
486,STOP,TERMINATE,74,1,N,True
487,MEND,HEALING,74,3,N,True
488,SEPARATE,ISOLATION,74,2,N,True
489,STARS,TWINKLES,74,1,N,True
490,ABILITY,POTENTIAL,74,5,N,True
491,SUN,RADIANCE,74,6,N,True
492,NEIGHBOR,FRIENDLY,74,6,N,True
493,DECORATION,AESTHETIC,74,4,N,True
494,ASSUME,ASSUME,74,1,V,True
495,DISCOURAGE,DISHEARTENING,74,2,N,True
496,ROPE,TETHERED,74,1,N,True
497,SURFACE,TANGIBLE,74,1,N,True
498,RADIO,WAVES,74,2,N,True
